DAT_DATA_SERVIZIO,COD_ANNO_STAGIONE,DES_ANNO_STAGIONE,DES_STAGIONALITA,DES_TIPOLOGIA_GIORNO,DES_PERIODICITA,FLG_ESCLUSIONE_STATISTICA,DES_MOTIVO_ESCLUSIONE
2010-01-01,null,null,Servizio Sospeso,Servizio Sospeso,Servizio Sospeso,N,null
2010-01-02,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-01-03,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-01-04,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-05,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-06,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-01-07,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-08,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-09,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-01-10,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-01-11,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-12,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-13,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-14,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-15,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-16,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-01-17,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-01-18,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-19,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-20,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-21,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-22,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-23,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-01-24,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-01-25,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-26,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-27,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-28,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-29,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-30,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-01-31,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-02-01,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-02,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-03,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-04,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-05,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-06,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-02-07,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-02-08,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-09,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-10,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-11,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-12,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-13,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-02-14,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-02-15,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-16,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-17,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-18,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-19,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-20,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-02-21,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-02-22,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-23,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-24,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-25,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-26,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-27,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-02-28,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-03-01,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-02,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-03,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-04,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-05,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-06,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-03-07,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-03-08,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-09,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-10,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-11,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-12,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-13,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-03-14,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-03-15,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-16,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-17,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-18,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-19,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-20,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-03-21,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-03-22,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-23,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-24,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-25,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-26,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-27,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-03-28,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-03-29,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-30,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-31,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-01,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-02,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-03,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-04-04,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-04-05,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-04-06,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-07,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-08,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-09,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-10,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-04-11,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-04-12,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-13,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-14,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-15,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-16,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-17,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-04-18,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-04-19,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-20,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-21,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-22,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-23,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-24,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-04-25,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-04-26,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-27,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-28,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-29,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-30,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-01,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-05-02,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-05-03,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-04,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-05,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-06,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-07,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-08,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-05-09,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-05-10,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-11,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-12,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-13,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-14,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-15,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-05-16,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-05-17,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-18,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-19,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-20,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-21,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-22,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-05-23,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-05-24,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-25,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-26,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-27,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-28,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-05-29,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-05-30,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-05-31,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-06-01,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-06-02,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-06-03,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-06-04,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-06-05,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-06-06,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-06-07,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-06-08,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-06-09,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-06-10,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-06-11,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-06-12,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-06-13,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-06-14,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-06-15,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-06-16,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-06-17,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-06-18,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-06-19,null,null,Estivo,Sabato,Sabato Estivo,N,null
2010-06-20,null,null,Estivo,Festivo,Festivo Estivo,N,null
2010-06-21,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-06-22,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-06-23,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-06-24,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-06-25,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-06-26,null,null,Estivo,Sabato,Sabato Estivo,N,null
2010-06-27,null,null,Estivo,Festivo,Festivo Estivo,N,null
2010-06-28,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-06-29,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-06-30,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-01,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-02,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-03,null,null,Estivo,Sabato,Sabato Estivo,N,null
2010-07-04,null,null,Estivo,Festivo,Festivo Estivo,N,null
2010-07-05,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-06,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-07,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-08,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-09,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-10,null,null,Estivo,Sabato,Sabato Estivo,N,null
2010-07-11,null,null,Estivo,Festivo,Festivo Estivo,N,null
2010-07-12,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-13,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-14,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-15,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-16,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-17,null,null,Estivo,Sabato,Sabato Estivo,N,null
2010-07-18,null,null,Estivo,Festivo,Festivo Estivo,N,null
2010-07-19,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-20,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-21,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-22,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-23,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-24,null,null,Estivo,Sabato,Sabato Estivo,N,null
2010-07-25,null,null,Estivo,Festivo,Festivo Estivo,N,null
2010-07-26,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-27,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-28,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-29,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-30,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-07-31,null,null,Estivo,Sabato,Sabato Estivo,N,null
2010-08-01,null,null,Estivo,Festivo,Festivo Estivo,N,null
2010-08-02,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-03,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-04,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-05,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-06,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-07,null,null,Agosto,Sabato,Sabato Agosto,N,null
2010-08-08,null,null,Agosto,Festivo,Festivo Agosto,N,null
2010-08-09,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-10,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-11,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-12,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-13,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-14,null,null,Agosto,Festivo,Festivo Agosto,N,null
2010-08-15,null,null,Agosto,Festivo,Festivo Agosto,N,null
2010-08-16,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-17,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-18,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-19,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-20,null,null,Agosto,Feriale Lun-Ven,Feriale Agosto,N,null
2010-08-21,null,null,Agosto,Sabato,Sabato Agosto,N,null
2010-08-22,null,null,Agosto,Festivo,Festivo Agosto,N,null
2010-08-23,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-08-24,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-08-25,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-08-26,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-08-27,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-08-28,null,null,Estivo,Sabato,Sabato Estivo,N,null
2010-08-29,null,null,Estivo,Festivo,Festivo Estivo,N,null
2010-08-30,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-08-31,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-09-01,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-09-02,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-09-03,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-09-04,null,null,Estivo,Sabato,Sabato Estivo,N,null
2010-09-05,null,null,Estivo,Festivo,Festivo Estivo,N,null
2010-09-06,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-09-07,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-09-08,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-09-09,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-09-10,null,null,Estivo,Feriale Lun-Ven,Feriale Estivo,N,null
2010-09-11,null,null,Estivo,Sabato,Sabato Estivo,N,null
2010-09-12,null,null,Estivo,Festivo,Festivo Estivo,N,null
2010-09-13,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-09-14,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-09-15,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-09-16,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-09-17,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-09-18,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-09-19,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-09-20,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-09-21,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-09-22,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-09-23,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-09-24,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-09-25,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-09-26,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-09-27,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-09-28,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-09-29,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-09-30,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-01,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-02,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-10-03,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-10-04,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-05,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-06,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-07,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-08,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-09,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-10-10,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-10-11,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-12,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-13,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-14,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-15,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-16,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-10-17,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-10-18,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-19,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-20,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-21,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-22,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-23,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-10-24,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-10-25,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-26,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-27,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-28,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-29,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-10-30,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-10-31,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-11-01,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-11-02,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-03,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-04,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-05,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-06,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-11-07,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-11-08,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-09,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-10,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-11,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-12,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-13,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-11-14,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-11-15,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-16,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-17,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-18,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-19,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-20,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-11-21,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-11-22,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-23,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-24,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-25,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-26,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-27,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-11-28,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-11-29,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-11-30,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-01,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-02,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-03,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-04,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-12-05,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-12-06,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-07,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-12-08,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-12-09,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-10,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-11,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-12-12,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-12-13,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-14,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-15,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-16,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-17,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-18,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-12-19,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-12-20,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-21,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-12-22,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
