COD_MATRICOLA_VEICOLO,DES_TARGA,DES_TARGA_PRECEDENTE,NUM_POSTI_A_SEDERE,NUM_POSTI_TOTALI_LIBRETTO,NUM_LUNGHEZZA_EFFETTIVA,NUM_MAX_CLASSE_DIMENSIONE,COD_DIMENSIONE,DES_DIMENSIONE,DES_CLASSE_DIMENSIONE,DES_NORMATIVA_INQUINANTI_CEE,COD_CARROZZERIA_MCTC,DES_CARROZZERIA_MCTC,COD_CATEGORIA_MCTC,DES_CATEGORIA_MCTC,COD_CLASSE_MCTC,DES_CLASSE_MCTC,COD_CLASSE_AMBIENTALE,DES_CLASSE_AMBIENTALE,COD_TIPO_PIANALE,DES_TIPO_PIANALE,COD_TIPO_VEICOLO,DES_TIPO_VEICOLO,COD_CARROZZERIA,DES_CARROZZERIA,COD_VERSIONE_CARROZZERIA,DES_VERSIONE_CARROZZERIA,COD_FAMIGLIA_BUS,DES_FAMIGLIA_BUS,DES_TIPO_PROPRIETA,COD_GRUPPO_VEICOLO,DES_GRUPPO_VEICOLO,COD_SCARL,DES_SCARL,COD_MARCA,DES_MARCA,COD_MODELLO,DES_MODELLO_MARCA,COD_ALIMENTAZIONE,DES_ALIMENTAZIONE,COD_STATO_VEICOLO_ATTUALE,DES_STATO_VEICOLO_ATTUALE,COD_USO_VEICOLO,DES_USO_VEICOLO,COD_ENTE_CONCEDENTE,DES_ENTE_CONCEDENTE,COD_LOTTO_CONTRATTO_BUS,DES_LOTTO_CONTRATTO_BUS,COD_DEPOSITO_BUS_ATTUALE,DES_DEPOSITO_BUS_ATTUALE,COD_DEPOSITO_BUS_ASSEGNATO,DES_DEPOSITO_BUS_ASSEGNATO,COD_SEDE_LAVORAZIONE_BUS,DES_SEDE_LAVORAZIONE_BUS,COD_PROPRIETARIO,DES_PROPRIETARIO,DES_TIPOLOGIA_PROPRIETARIO,COD_BACINO,COD_UNITA_PRODUTTIVA,COD_PRODOTTO_TRAZIONE,DES_PRODOTTO_TRAZIONE,COD_MOTORE,DAT_IMMATRICOLAZIONE,DAT_ENTRATA_SERVIZIO,DAT_USCITA_SERVIZIO,NUM_ANNI_ETA,DAT_ATTIVAZIONE_FULL_SERVICE,DAT_SCADENZA_FULL_SERVICE,DAT_INIZIO_CONTRATTO,DAT_FINE_CONTRATTO,DAT_ULTIMA_REVISIONE,DAT_SCADENZA_REVISIONE,DAT_SCADENZA_GARANZIA,DAT_ULTIMO_RIFORNIMENTO,DAT_ALIENAZIONE,DAT_AUT_ALIENAZIONE,FLG_VALIDITA,DAT_INIZIO_VALIDITA,DAT_FINE_VALIDITA,FLG_MOVIMENTO,NUM_KM_PROGR,IMP_PREZZO_ACQ,IMP_FINANZIAMENTO,IMP_VALORE_RESIDUO_ATT,FLG_LEASING,FLG_FULL_SERVICE
12,CA843LK,null,3,3,4.00,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,EURO3 1999/96 CEE,CU,A UN PIANO,N1,"AUTOCARRO (< 3,5 T)",A,CLASSE A,E3,EURO3,null,null,null,null,16,MERCEDES BENZ,003,2.9 VAN (CDI),02,AUTOCARRO,PROPRIETA,081,INT/COR - CORPORATE,null,null,MER,MERCEDES BENZ,002,311.CDI SRINTER,03,GASOLIO,R,ROTTAMATO ( NO ASSICURAZIONE ),null,null,null,null,null,null,LCH,LACCHIARELLA (DEPOSITO),LCH,LACCHIARELLA (DEPOSITO),LCH,LACCHIARELLA - SS105 VIA MILANO 5/7,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0067,2002-05-16,2002-05-16,2021-11-10,24,null,null,null,null,2020-08-04,2022-08-31,2004-05-16,2021-09-24,2021-11-10,null,S,2011-01-01,2999-12-31,S,295179,65000.00,0.00,791.50,N,N
18,PC352842,null,3,3,4.00,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,CU,A UN PIANO,N1,"AUTOCARRO (< 3,5 T)",A,CLASSE A,E0,EURO0,null,null,null,null,08,FIAT,001,1.9 BERLINA (TD),02,AUTOCARRO,PROPRIETA,999,OFF/COR - OFFICINA GENERICO,null,null,FIA,FIAT,018,DUCATO,03,GASOLIO,R,ROTTAMATO ( NO ASSICURAZIONE ),03,USO PROPRIO,99,VARI,null,null,SCM,null,SCM,null,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,999,null,1,GASOLIO AUT.,0089,1988-01-01,1988-01-01,2007-01-01,38,null,null,null,null,2006-05-19,2008-05-31,null,2010-06-11,2009-01-16,null,S,2000-01-01,2999-12-31,S,509914,0.00,0.00,0.00,N,N
38,DK695YA,null,2,2,3.84,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,EURO4 2003/76/CEE-B,CU,A UN PIANO,N1,"AUTOCARRO (< 3,5 T)",A,CLASSE A,E4,EURO4,null,null,null,null,08,FIAT,003,1.3 VAN (MJT),02,AUTOCARRO,PROPRIETA,081,INT/COR - CORPORATE,null,null,FIA,FIAT,019,PUNTO,03,GASOLIO,R,ROTTAMATO ( NO ASSICURAZIONE ),03,USO PROPRIO,99,VARI,null,null,LCH,LACCHIARELLA (DEPOSITO),LCH,LACCHIARELLA (DEPOSITO),LCH,LACCHIARELLA - SS105 VIA MILANO 5/7,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0080,2007-11-14,2007-11-14,null,18,null,null,null,null,2022-01-24,2024-01-31,2009-11-13,2022-11-16,2023-05-15,null,S,2000-01-01,2999-12-31,S,172340,15000.00,0.00,638.58,N,N
67,EK464GN,null,3,4,4.07,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,EURO5 715/2007*692/08,CU,A UN PIANO,N1,"AUTOCARRO (< 3,5 T)",A,CLASSE A,E5,EURO5,null,null,null,null,08,FIAT,010,1.3 ACTIVE (MJT),02,AUTOCARRO,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,FIA,FIAT,021,GRANDE PUNTO EVO,03,GASOLIO,A,ALIENATO ( NO ASSICURAZIONE ),03,USO PROPRIO,99,VARI,null,null,MGN,MILANO VIA MARIGNANO,MGN,MILANO VIA MARIGNANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0075,2011-09-20,2011-11-11,2016-11-15,14,null,null,2011-11-11,2016-11-09,2015-09-18,2017-09-30,2013-09-20,2016-10-03,null,null,S,2000-01-01,2999-12-31,S,103749,0.00,0.00,0.00,N,N
70,EM304NZ,null,3,4,4.07,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,EURO5 715/2007*692/08,CU,A UN PIANO,N1,"AUTOCARRO (< 3,5 T)",A,CLASSE A,E5,EURO5,null,null,null,null,08,FIAT,010,1.3 ACTIVE (MJT),02,AUTOCARRO,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,FIA,FIAT,021,GRANDE PUNTO EVO,03,GASOLIO,A,ALIENATO ( NO ASSICURAZIONE ),03,USO PROPRIO,98,ASSENTE,null,null,MGN,MILANO VIA MARIGNANO,MGN,MILANO VIA MARIGNANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0161,2012-04-24,2012-05-28,2017-08-25,14,null,null,2012-05-21,2017-08-17,2016-04-12,2018-04-30,2014-05-28,2017-08-04,2017-08-25,null,S,2000-01-01,2999-12-31,S,110400,0.00,0.00,0.00,N,N
93,FF311GL,null,3,4,4.02,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,136/2014 (EURO6B),CU,A UN PIANO,N1,"AUTOCARRO (< 3,5 T)",A,CLASSE A,E6,EURO6,null,null,null,null,18,OPEL,005,1.3 VAN (CDTI),02,AUTOCARRO,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,OPE,OPEL,002,CORSA,03,GASOLIO,A,ALIENATO ( NO ASSICURAZIONE ),03,USO PROPRIO,99,VARI,null,null,DES,DESIO VIA ROSSA,DES,DESIO VIA ROSSA,DES,"DESIO - VIA GUIDO ROSSA, 17",AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0175,2016-07-29,2016-09-15,2021-11-10,9,null,null,2016-09-14,2021-09-14,2020-07-14,2022-07-31,2018-07-29,2021-11-10,null,null,S,2016-07-29,2999-12-31,S,122163,0.00,0.00,0.00,N,N
161,GV488ZG,null,4,5,4.09,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,EL,ELETTRICO,01,RIBASSATO TOTALMENTE,null,null,22,RENAULT,null,null,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,REN,RENAULT,007,ZOE,04,ELETTRICA,E,ESERCIZIO,null,null,null,null,null,null,QTL,MILANO VIA QUINTILIANO,DES,DESIO VIA ROSSA,DES,"DESIO - VIA GUIDO ROSSA, 17",AGI,AUTOGUIDOVIE,INTERNA,COR,null,E,ENERGIA ELETTRICA,0212,2024-06-28,2024-07-26,null,2,null,null,null,null,null,2028-06-30,null,2026-06-30,null,null,S,2000-01-01,2999-12-31,S,31858,0.00,0.00,0.00,N,N
186,HA579NB,null,4,5,4.05,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,null,null,M1,AUTOVETTURA,null,null,E6,EURO6,null,null,null,null,null,null,null,null,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,REN,RENAULT,002,CLIO,03,GASOLIO,E,ESERCIZIO,03,USO PROPRIO,98,ASSENTE,null,null,MGN,MILANO VIA MARIGNANO,DES,DESIO VIA ROSSA,DES,"DESIO - VIA GUIDO ROSSA, 17",AGI,AUTOGUIDOVIE,INTERNA,COR,null,1H,GASOLIO AUT/HVO,0216,2025-07-30,null,null,0,null,null,null,null,null,2029-07-31,null,2026-06-17,null,null,S,2024-09-19,2999-12-31,S,8998,0.00,0.00,0.00,null,N
218,CV942XN,null,7,7,4.00,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,EURO3 99/96-A,CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,E3,EURO3,null,null,null,null,43,DAIMLER CRYSLER,001,2.8 MONOVOLUME (CRD),01,AUTOVETTURA,LEASING,081,INT/COR - CORPORATE,null,null,DCR,DAIMLER CHRYSLER,001,GRAND VOYAGER,03,GASOLIO,V,VENDUTO ( NO ASSICURAZIONE ),03,USO PROPRIO,99,VARI,null,null,QTL,MILANO VIA QUINTILIANO,QTL,MILANO VIA QUINTILIANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0089,2005-05-05,2005-05-05,2007-10-01,21,null,null,null,null,null,2009-05-31,null,2007-10-29,2007-10-01,null,S,2000-01-01,2999-12-31,S,180800,0.00,0.00,0.00,N,N
225,DH301RT,null,4,5,0.00,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,EURO4 2003/76/CEE-B,CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,E4,EURO4,null,null,null,null,34,TOYOTA,002,1.4 TREND (DIESEL),01,AUTOVETTURA,PROPRIETA,081,INT/COR - CORPORATE,null,null,TOY,TOYOTA,001,YARIS,03,GASOLIO,R,ROTTAMATO ( NO ASSICURAZIONE ),03,USO PROPRIO,98,ASSENTE,null,null,DES,DESIO VIA ROSSA,DES,DESIO VIA ROSSA,DES,"DESIO - VIA GUIDO ROSSA, 17",AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0132,2007-06-06,2007-06-06,2019-03-16,19,null,null,null,null,2017-06-09,2019-06-30,2009-06-06,2019-03-16,2021-05-11,null,S,2000-01-01,2999-12-31,S,242000,0.00,0.00,0.00,N,N
257,ET682MK,null,4,5,4.09,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,EL,ELETTRICO,01,RIBASSATO TOTALMENTE,null,null,22,RENAULT,004,LIFE,01,AUTOVETTURA,PROPRIETA,081,INT/COR - CORPORATE,null,null,REN,RENAULT,007,ZOE,04,ELETTRICA,R,ROTTAMATO ( NO ASSICURAZIONE ),03,USO PROPRIO,99,VARI,null,null,PAV,PAVIA CAMPEGGI,PAV,PAVIA CAMPEGGI,PAV,PAVIA - STRADA CAMPEGGI 17,AGI,AUTOGUIDOVIE,INTERNA,COR,null,E,ENERGIA ELETTRICA,0165,2013-11-22,2013-11-24,null,12,null,null,null,null,2021-11-25,2023-11-30,2015-10-24,2023-08-22,2026-05-27,null,S,2000-01-01,2999-12-31,S,98662,20000.00,0.00,2328.03,N,N
261,EW593PW,null,4,5,4.97,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,EL,ELETTRICO,null,null,null,null,42,TESLA MOTORS,001,BERLINA,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,TSM,TESLA MOTORS,001,MODEL S,04,ELETTRICA,A,ALIENATO ( NO ASSICURAZIONE ),null,null,null,null,null,null,QTL,MILANO VIA QUINTILIANO,QTL,MILANO VIA QUINTILIANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,E,ENERGIA ELETTRICA,0171,2014-10-17,2014-10-29,2016-07-29,11,null,null,2014-10-25,2019-10-24,null,2018-10-31,2016-10-17,2014-06-30,null,null,S,2000-01-01,2999-12-31,S,42875,0.00,0.00,0.00,N,N
263,EX600SK,null,4,5,4.72,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,195/2013 ( EURO 6B),CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,E6,EURO6,null,null,null,null,38,AUDI,002,2.0 TDI ALLROAD,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,AUD,AUDI,002,A4,03,GASOLIO,A,ALIENATO ( NO ASSICURAZIONE ),03,USO PROPRIO,99,VARI,null,null,AAS,null,AAS,null,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0172,2014-10-29,2014-10-30,2015-12-31,11,null,null,2014-11-06,2018-11-06,null,2018-10-31,null,2015-01-21,2015-12-31,null,S,2014-10-30,2999-12-31,S,12586,0.00,0.00,0.00,N,N
273,FE415ZX,null,4,5,4.58,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,2015/45 (EURO 6B),CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,E6,EURO6,01,RIBASSATO TOTALMENTE,null,null,44,LAND ROVER,01,2.0 SPORT TD4,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,LDR,LAND ROVER,01,DISCOVERY,03,GASOLIO,A,ALIENATO ( NO ASSICURAZIONE ),null,null,null,null,null,null,PAV,PAVIA CAMPEGGI,PAV,PAVIA CAMPEGGI,PAV,PAVIA - STRADA CAMPEGGI 17,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0177,2016-09-09,2016-10-19,2020-09-14,9,null,null,2016-10-19,2020-10-18,null,2020-09-30,null,2021-04-28,2020-09-14,null,S,2016-10-19,2999-12-31,S,90000,0.00,0.00,0.00,null,N
275,FG801TC,null,4,5,4.66,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,136/2014 (EURO 6B),CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,E6,EURO6,01,RIBASSATO TOTALMENTE,null,null,16,MERCEDES BENZ,019,250 D 4MATIC BUSINESS,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,MER,MERCEDES BENZ,025,CLASSE GLC,null,null,A,ALIENATO ( NO ASSICURAZIONE ),null,null,null,null,null,null,MGN,MILANO VIA MARIGNANO,MGN,MILANO VIA MARIGNANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,null,2016-12-14,2017-01-04,2020-10-29,9,null,null,2016-12-30,2020-12-30,null,2020-12-31,null,2020-10-09,2021-10-29,null,S,2016-12-14,2999-12-31,S,171418,0.00,0.00,0.00,null,N
280,FR520AP,null,4,5,4.66,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,136/2014 (EURO 6B),CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,E6,EURO6,01,RIBASSATO TOTALMENTE,null,null,16,MERCEDES BENZ,019,250 D 4MATIC BUSINESS,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,MER,MERCEDES BENZ,025,CLASSE GLC,null,null,A,ALIENATO ( NO ASSICURAZIONE ),null,null,null,null,null,null,QTL,MILANO VIA QUINTILIANO,QTL,MILANO VIA QUINTILIANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,null,2018-04-20,null,2022-07-25,8,null,null,2018-05-16,2022-05-15,2022-04-23,2024-04-30,null,2022-07-24,2022-07-25,null,S,2016-12-14,2999-12-31,S,165591,0.00,0.00,0.00,null,N
295,GF666BY,null,4,5,4.19,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,E6,EURO6,null,null,null,null,38,AUDI,null,null,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,AUD,AUDI,Q5,Q5,null,null,E,ESERCIZIO,null,null,null,null,null,null,QTL,MILANO VIA QUINTILIANO,QTL,MILANO VIA QUINTILIANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1H,GASOLIO AUT/HVO,null,2021-03-29,2021-04-21,null,5,null,null,2018-03-07,2022-03-06,2025-03-19,2027-03-31,null,2026-05-11,null,null,S,2018-03-07,2999-12-31,S,136517,0.00,0.00,0.00,null,N
300,GH484PH,null,5,5,4.46,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,null,null,M1,AUTOVETTURA,null,null,E6,EURO6,null,null,null,null,null,null,null,null,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,MER,MERCEDES BENZ,033,CLASSE A,09,IBRIDO (ELETTRICO + BENZINA),A,ALIENATO ( NO ASSICURAZIONE ),null,null,null,null,null,null,QTL,MILANO VIA QUINTILIANO,QTL,MILANO VIA QUINTILIANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,3,BENZINA,0218,2022-12-03,2021-12-29,2026-06-23,3,null,null,null,null,null,2026-12-31,null,2026-05-29,2026-06-23,null,S,2022-12-29,2999-12-31,S,84677,0.00,0.00,0.00,null,N
317,GS052VB,null,4,5,4.50,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,null,null,M1,AUTOVETTURA,null,null,E6,EURO6,null,null,null,null,null,null,null,null,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,BMW,BMW,02,X1,null,null,E,ESERCIZIO,null,null,null,null,null,null,AAS,null,QTL,MILANO VIA QUINTILIANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1H,GASOLIO AUT/HVO,null,2024-05-11,2024-05-03,null,2,null,null,null,null,null,2028-05-31,null,2026-06-27,null,null,S,2024-05-03,2999-12-31,S,125427,0.00,0.00,0.00,null,N
340,HD899BF,null,4,5,4.75,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,null,null,M1,AUTOVETTURA,null,null,E6,EURO6,null,null,null,null,null,null,null,null,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,MER,MERCEDES BENZ,025,CLASSE GLC,null,null,E,ESERCIZIO,null,null,null,null,null,null,QTL,MILANO VIA QUINTILIANO,QTL,MILANO VIA QUINTILIANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1H,GASOLIO AUT/HVO,null,2026-02-26,2026-03-11,null,0,null,null,null,null,null,2030-02-28,null,2026-06-29,null,null,S,2025-10-31,2999-12-31,S,9730,0.00,0.00,0.00,null,N
343,HD150LY,null,4,5,4.23,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,EL,ELETTRICO,null,null,null,null,39,VOLVO,null,null,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,VOL,VOLVO,008,EX30,null,null,E,ESERCIZIO,null,null,null,null,null,null,QTL,MILANO VIA QUINTILIANO,QTL,MILANO VIA QUINTILIANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,E,ENERGIA ELETTRICA,null,2026-04-07,2026-04-29,null,0,null,null,2018-03-07,2022-03-06,null,2030-04-30,null,2026-06-28,null,null,S,2026-04-17,2999-12-31,S,3002,0.00,0.00,0.00,null,N
802,DL663TF,AW283OT,0,2,6.21,8.00,01,CORTO,CORTO da 6.00 m a 8.00 m,EURO2 91/542 CEE-B,CU,A UN PIANO,N3,AUTOCARRO (> 12 T),A,CLASSE A,E2,EURO2,null,null,null,null,30,IVECO,051,CON CASSONE + GRU' FISSA,12,VEICOLO USO SPECIALE,PROPRIETA,081,INT/COR - CORPORATE,null,null,IVE,IVECO,006,MAGIRUS 440 EUROTECH,03,GASOLIO,E,ESERCIZIO,03,USO PROPRIO,98,ASSENTE,null,null,PAV,PAVIA CAMPEGGI,PAV,PAVIA CAMPEGGI,PAV,PAVIA - STRADA CAMPEGGI 17,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1H,GASOLIO AUT/HVO,0076,1999-02-02,2008-01-07,null,27,null,null,null,null,2025-11-28,2026-11-30,null,2026-06-27,null,null,S,2000-01-01,2999-12-31,S,834752,170000.00,0.00,2159.82,N,N
999,MI5F3892,null,0,0,0.00,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,CQ,AUTOBUS A UN PIANO,M3,AUTOBUS,III,CLASSE III,E0,EURO0,null,null,null,null,31,CACCIAMALI,001,THEMA,20,VEICOLI DI TERZI,MANUTENZIONE,024,INT/MSE - COMUNE MILANO,null,null,IVE,IVECO,022,A70 C14,03,GASOLIO,A,ALIENATO ( NO ASSICURAZIONE ),null,null,null,null,null,null,null,null,null,null,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,SES,null,1,GASOLIO AUT.,0089,1987-07-31,1987-07-31,2008-10-01,38,null,null,null,null,2007-12-14,2008-12-31,null,null,2008-10-01,null,S,2000-01-01,2999-12-31,S,0,0.00,0.00,0.00,N,N
1003,AZ448DA,null,47,73,11.87,12.40,04,LUNGO,LUNGO da 11.30 m a 12.40 m,EURO2 96/01,CM,A UN PIANO E PIANALE RIBASSATO,M3,AUTOBUS,II,CLASSE II,E2,EURO2,01,RIBASSATO TOTALMENTE,null,null,16,MERCEDES BENZ,009,A PIANALE RIBASSATO,04,INTERURBANO,PROPRIETA,003,INT/ADD - PROVINCIA CREMONA,C001,A.T.I. CREMONA (AMBITO EXTRAURBANO PROVINCIALE),MER,MERCEDES BENZ,009,O405 N,03,GASOLIO,V,VENDUTO ( NO ASSICURAZIONE ),01,PUBBLICO DI LINEA,01,PROVINCIA DI CREMONA,PC,Provincia  Cremona,SCC,null,SCC,null,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,ADD,UP CREMA,1,GASOLIO AUT.,0010,1998-10-22,1998-10-22,2015-12-15,27,null,null,null,null,2015-09-18,2016-09-30,null,2015-12-22,2015-12-28,2012-12-11,S,2000-01-01,2999-12-31,S,637221,209758.97,0.00,2750.55,N,N
1021,BV674NG,null,44,71,12.00,12.40,04,LUNGO,LUNGO da 11.30 m a 12.40 m,EURO2 96/01,CM,A UN PIANO E PIANALE RIBASSATO,M3,AUTOBUS,II,CLASSE II,E2,EURO2,01,RIBASSATO TOTALMENTE,null,null,01,AUTODROMO,002,BUSSOTTO,04,INTERURBANO,PROPRIETA,002,INT/MSE - CITTÀ MET MILANO (LOTTO4),D001,CITTA' METROPOLITANA MILANO (SOTTORETE SUDEST LT4),MAN,MAN NUTZFAHRZEUGE,010,NL263 F,03,GASOLIO,R,ROTTAMATO ( NO ASSICURAZIONE ),01,PUBBLICO DI LINEA,53,AGENZIA PER TPL MI - MB - LO - PV,SE,Prov. Milano Lotto 4 - Sud Est,ZBP,ZELO B/P,ZBP,ZELO B/P,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,SES,UP MISE,1,GASOLIO AUT.,0042,2001-06-18,2001-06-18,2017-12-04,25,null,null,null,null,2017-06-23,2018-06-30,2003-06-18,2017-12-04,2017-12-04,2017-10-03,S,2000-01-01,2999-12-31,S,549138,191089.05,0.00,116487.88,N,N
1030,CT320VK,null,42,82,12.00,12.40,04,LUNGO,LUNGO da 11.30 m a 12.40 m,EURO4 2005/78/CEE,CM,A UN PIANO E PIANALE RIBASSATO,M3,AUTOBUS,II,CLASSE II,E4,EURO4,01,RIBASSATO TOTALMENTE,L1,12M,16,MERCEDES BENZ,011,CITARO C1 FACE LIFT,04,INTERURBANO,PROPRIETA,001,INT/NOR - PROVINCIA MONZA E BRIANZA,null,null,MER,MERCEDES BENZ,014,O530 NU,03,GASOLIO,V,VENDUTO ( NO ASSICURAZIONE ),01,PUBBLICO DI LINEA,53,AGENZIA PER TPL MI - MB - LO - PV,BT,Prov. Milano Lotto 2 - Nord,DES,DESIO VIA ROSSA,DES,DESIO VIA ROSSA,DES,"DESIO - VIA GUIDO ROSSA, 17",AGI,AUTOGUIDOVIE,INTERNA,NOR,UP NORD,1H,GASOLIO AUT/HVO,0094,2007-06-22,2007-07-01,2024-05-17,19,null,null,2007-06-22,2019-07-06,2025-03-31,2026-03-31,2009-06-22,2024-06-18,2026-04-17,null,S,2022-09-28,2999-12-31,S,643890,200860.00,0.00,2503.88,N,N
1044,BR107XY,null,45,71,12.00,12.40,04,LUNGO,LUNGO da 11.30 m a 12.40 m,EURO2 96/01,CM,A UN PIANO E PIANALE RIBASSATO,M3,AUTOBUS,II,CLASSE II,E2,EURO2,01,RIBASSATO TOTALMENTE,L1,12M,16,MERCEDES BENZ,005,CITARO C1 OLD VERSION,04,INTERURBANO,PROPRIETA,221,TPE/BOL - COMUNE BOLOGNA,B001,TRASPORTI PUBBLICI BOLOGNESI (AMBITO EXTRAURBANO),MER,MERCEDES BENZ,014,O530 NU,03,GASOLIO,R,ROTTAMATO ( NO ASSICURAZIONE ),01,PUBBLICO DI LINEA,31,SRM - RETI E MOBILITÀ S.R.L.,SB,Servizio Area Bologna,MDC,MEDICINA,MDC,MEDICINA,BOL,BOLOGNA - VIA DUE MADONNE 10,AGI,AUTOGUIDOVIE,INTERNA,BOL,UP BO,1,GASOLIO AUT.,0101,2001-01-17,2007-11-01,2024-01-19,25,null,null,null,null,2023-03-13,2024-03-31,2003-01-17,2023-12-27,2024-02-21,null,S,2019-09-01,2999-12-31,S,952793,200860.00,0.00,2882.97,N,N
